,FECHA,UTIL,IRRAD,ANNO,DIA,DIASEM,MES,TRAMO
14711,2020-01-13 21:00:00,1.72965553218214e-06,0.0,2020,13,0,1,21
14712,2020-01-14 00:00:00,3.16526962389332e-05,0.0,2020,14,1,1,0
14713,2020-01-14 03:00:00,0.000107065677442,0.0,2020,14,1,1,3
14714,2020-01-14 06:00:00,0.031383042941466,0.0,2020,14,1,1,6
14715,2020-01-14 09:00:00,0.38284973894309,644260.0,2020,14,1,1,9
14716,2020-01-14 12:00:00,0.406842136761095,1297862.9,2020,14,1,1,12
14717,2020-01-14 15:00:00,0.110364476473052,522049.56,2020,14,1,1,15
14718,2020-01-14 18:00:00,1.02049676398746e-05,0.0,2020,14,1,1,18
14719,2020-01-14 21:00:00,1.90262108540036e-06,0.0,2020,14,1,1,21
14720,2020-01-15 00:00:00,3.16526962389332e-05,0.0,2020,15,2,1,0
14721,2020-01-15 03:00:00,0.000104644159697,0.0,2020,15,2,1,3
14722,2020-01-15 06:00:00,0.0419825450082314,0.0,2020,15,2,1,6
14723,2020-01-15 09:00:00,0.390908722964187,625860.75,2020,15,2,1,9
14724,2020-01-15 12:00:00,0.417136181660878,1254521.8,2020,15,2,1,12
14725,2020-01-15 15:00:00,0.131941756271472,582395.9,2020,15,2,1,15
14726,2020-01-15 18:00:00,2.28314530248043e-05,0.0,2020,15,2,1,18
14727,2020-01-15 21:00:00,2.07558663861857e-06,0.0,2020,15,2,1,21
14728,2020-01-16 00:00:00,3.52849728565157e-05,0.0,2020,16,3,1,0
14729,2020-01-16 03:00:00,0.0001279945093814,0.0,2020,16,3,1,3
14730,2020-01-16 06:00:00,0.0503345326764794,0.0,2020,16,3,1,6
14731,2020-01-16 09:00:00,0.459925956905978,780531.7,2020,16,3,1,9
14732,2020-01-16 12:00:00,0.509064432781954,1618326.0,2020,16,3,1,12
14733,2020-01-16 15:00:00,0.170270231002415,836764.6,2020,16,3,1,15
14734,2020-01-16 18:00:00,2.31773841312407e-05,0.0,2020,16,3,1,18
14735,2020-01-16 21:00:00,1.2107588725275e-06,0.0,2020,16,3,1,21
14736,2020-01-17 00:00:00,1.31453820445843e-05,0.0,2020,17,4,1,0
14737,2020-01-17 03:00:00,4.80844237946636e-05,0.0,2020,17,4,1,3
14738,2020-01-17 06:00:00,0.0168983886183131,0.0,2020,17,4,1,6
14739,2020-01-17 09:00:00,0.242751792009614,559226.56,2020,17,4,1,9
14740,2020-01-17 12:00:00,0.409974542929877,1384909.6,2020,17,4,1,12
14741,2020-01-17 15:00:00,0.136898257164493,630674.8,2020,17,4,1,15
14742,2020-01-17 18:00:00,1.29724164913661e-05,0.0,2020,17,4,1,18
14743,2020-01-17 21:00:00,1.72965553218214e-06,0.0,2020,17,4,1,21
14744,2020-01-18 00:00:00,7.09158768194679e-06,0.0,2020,18,5,1,0
14745,2020-01-18 03:00:00,1.74695208750397e-05,0.0,2020,18,5,1,3
14746,2020-01-18 06:00:00,0.0056447308292764,0.0,2020,18,5,1,6
14747,2020-01-18 09:00:00,0.0674083083657557,81260.2,2020,18,5,1,9
14748,2020-01-18 12:00:00,0.0856831568565794,201822.44,2020,18,5,1,12
14749,2020-01-18 15:00:00,0.0182217480659857,84055.47,2020,18,5,1,15
14750,2020-01-18 18:00:00,2.76744885149143e-06,0.0,2020,18,5,1,18
14751,2020-01-18 21:00:00,1.38372442574572e-06,0.0,2020,18,5,1,21
14752,2020-01-19 00:00:00,3.11337995792786e-05,0.0,2020,19,6,1,0
14753,2020-01-19 03:00:00,0.0001138113340175,0.0,2020,19,6,1,3
14754,2020-01-19 06:00:00,0.0278453784814939,0.0,2020,19,6,1,6
14755,2020-01-19 09:00:00,0.36846194532974,613291.25,2020,19,6,1,9
14756,2020-01-19 12:00:00,0.31731101524207,1211744.6,2020,19,6,1,12
14757,2020-01-19 15:00:00,0.0639031614297886,558994.3,2020,19,6,1,15
14758,2020-01-19 18:00:00,1.27994509381479e-05,0.0,2020,19,6,1,18
14759,2020-01-19 21:00:00,1.90262108540036e-06,0.0,2020,19,6,1,21
14760,2020-01-20 00:00:00,3.33823517711154e-05,0.0,2020,20,0,1,0
14761,2020-01-20 03:00:00,8.66557421623254e-05,0.0,2020,20,0,1,3
14762,2020-01-20 06:00:00,0.0244976301989554,0.0,2020,20,0,1,6
14763,2020-01-20 09:00:00,0.250335985587126,373081.53,2020,20,0,1,9
14764,2020-01-20 12:00:00,0.346201970492769,824401.25,2020,20,0,1,12
14765,2020-01-20 15:00:00,0.111633524737015,496846.38,2020,20,0,1,15
14766,2020-01-20 18:00:00,1.60857964492939e-05,0.0,2020,20,0,1,18
14767,2020-01-20 21:00:00,2.421517745055e-06,0.0,2020,20,0,1,21
14768,2020-01-21 00:00:00,3.19986273453697e-05,0.0,2020,21,1,1,0
14769,2020-01-21 03:00:00,0.000112600575145,0.0,2020,21,1,1,3
14770,2020-01-21 06:00:00,0.0294496339875928,0.0,2020,21,1,1,6
14771,2020-01-21 09:00:00,0.273739608661977,445208.62,2020,21,1,1,9
14772,2020-01-21 12:00:00,0.233311505080517,1002248.0,2020,21,1,1,12
14773,2020-01-21 15:00:00,0.0627024345593478,361701.56,2020,21,1,1,15
14774,2020-01-21 18:00:00,1.08968298527475e-05,0.0,2020,21,1,1,18
14775,2020-01-21 21:00:00,1.72965553218214e-06,0.0,2020,21,1,1,21
14776,2020-01-22 00:00:00,1.10697954059657e-05,0.0,2020,22,2,1,0
14777,2020-01-22 03:00:00,2.94041440470964e-05,0.0,2020,22,2,1,3
14778,2020-01-22 06:00:00,0.0093041630387141,0.0,2020,22,2,1,6
14779,2020-01-22 09:00:00,0.138873004885585,329796.34,2020,22,2,1,9
14780,2020-01-22 12:00:00,0.194172513767193,701789.9,2020,22,2,1,12
14781,2020-01-22 15:00:00,0.0279133539439087,293612.53,2020,22,2,1,15
14782,2020-01-22 18:00:00,2.40422118973318e-05,0.0,2020,22,2,1,18
14783,2020-01-22 21:00:00,1.38372442574572e-06,0.0,2020,22,2,1,21
14784,2020-01-23 00:00:00,2.07558663861857e-05,0.0,2020,23,3,1,0
14785,2020-01-23 03:00:00,3.54579384097339e-05,0.0,2020,23,3,1,3
14786,2020-01-23 06:00:00,0.0147038016790804,0.0,2020,23,3,1,6
14787,2020-01-23 09:00:00,0.166791720761643,342953.3,2020,23,3,1,9
14788,2020-01-23 12:00:00,0.177988299918118,735332.8,2020,23,3,1,12
14789,2020-01-23 15:00:00,0.0426645481845709,300952.25,2020,23,3,1,15
14790,2020-01-23 18:00:00,2.21395908119314e-05,0.0,2020,23,3,1,18
14791,2020-01-23 21:00:00,3.11337995792786e-06,0.0,2020,23,3,1,21
14792,2020-01-24 00:00:00,1.57398653428575e-05,0.0,2020,24,4,1,0
14793,2020-01-24 03:00:00,3.58038695161704e-05,0.0,2020,24,4,1,3
14794,2020-01-24 06:00:00,0.0205287626148102,0.0,2020,24,4,1,6
14795,2020-01-24 09:00:00,0.27859198429196,421835.0,2020,24,4,1,9
14796,2020-01-24 12:00:00,0.149081258870971,829751.2,2020,24,4,1,12
14797,2020-01-24 15:00:00,0.0210480052055713,203780.19,2020,24,4,1,15
14798,2020-01-24 18:00:00,1.79884175346943e-05,0.0,2020,24,4,1,18
14799,2020-01-24 21:00:00,6.91862212872858e-07,0.0,2020,24,4,1,21
14800,2020-01-25 00:00:00,3.45931106436429e-06,0.0,2020,25,5,1,0
14801,2020-01-25 03:00:00,2.83663507277872e-05,0.0,2020,25,5,1,3
14802,2020-01-25 06:00:00,0.0065403464638403,0.0,2020,25,5,1,6
14803,2020-01-25 09:00:00,0.106904473546475,124454.09,2020,25,5,1,9
14804,2020-01-25 12:00:00,0.166827351665606,437713.4,2020,25,5,1,12
14805,2020-01-25 15:00:00,0.0571350193323599,132175.72,2020,25,5,1,15
14806,2020-01-25 18:00:00,4.15117327723715e-06,0.0,2020,25,5,1,18
14807,2020-01-25 21:00:00,1.38372442574572e-06,0.0,2020,25,5,1,21
14808,2020-01-26 00:00:00,1.71235897686032e-05,0.0,2020,26,6,1,0
14809,2020-01-26 03:00:00,0.0001055089874631,0.0,2020,26,6,1,3
14810,2020-01-26 06:00:00,0.0277691006725247,0.0,2020,26,6,1,6
14811,2020-01-26 09:00:00,0.285715570601252,609657.7,2020,26,6,1,9
14812,2020-01-26 12:00:00,0.462599658427626,1532147.0,2020,26,6,1,12
14813,2020-01-26 15:00:00,0.177721068138396,889400.3,2020,26,6,1,15
14814,2020-01-26 18:00:00,1.38372442574572e-05,0.0,2020,26,6,1,18
14815,2020-01-26 21:00:00,2.76744885149143e-06,0.0,2020,26,6,1,21
14816,2020-01-27 00:00:00,3.6322766175825e-05,0.0,2020,27,0,1,0
14817,2020-01-27 03:00:00,9.16717432056536e-05,0.0,2020,27,0,1,3
14818,2020-01-27 06:00:00,0.0492344717580115,0.0,2020,27,0,1,6
14819,2020-01-27 09:00:00,0.404214444076604,642747.2,2020,27,0,1,9
14820,2020-01-27 12:00:00,0.42064807425342,1330027.6,2020,27,0,1,12
14821,2020-01-27 15:00:00,0.128434014852206,646584.8,2020,27,0,1,15
14822,2020-01-27 18:00:00,1.22805542784932e-05,0.0,2020,27,0,1,18
14823,2020-01-27 21:00:00,2.94041440470964e-06,0.0,2020,27,0,1,21
14824,2020-01-28 00:00:00,2.95771096003147e-05,0.0,2020,28,1,1,0
14825,2020-01-28 03:00:00,6.83213935211947e-05,0.0,2020,28,1,1,3
14826,2020-01-28 06:00:00,0.0360903004722997,0.0,2020,28,1,1,6
14827,2020-01-28 09:00:00,0.303372586135981,514927.0,2020,28,1,1,9
14828,2020-01-28 12:00:00,0.255443139477001,1095669.6,2020,28,1,1,12
14829,2020-01-28 15:00:00,0.0562177830036437,439660.25,2020,28,1,1,15
14830,2020-01-28 18:00:00,8.30234655447429e-06,0.0,2020,28,1,1,18
14831,2020-01-28 21:00:00,2.76744885149143e-06,0.0,2020,28,1,1,21
14832,2020-01-29 00:00:00,3.390124843077e-05,0.0,2020,29,2,1,0
14833,2020-01-29 03:00:00,9.87633308876004e-05,0.0,2020,29,2,1,3
14834,2020-01-29 06:00:00,0.0442871380393109,0.0,2020,29,2,1,6
14835,2020-01-29 09:00:00,0.33970417355502,399034.4,2020,29,2,1,9
14836,2020-01-29 12:00:00,0.40595932057747,872375.1,2020,29,2,1,12
14837,2020-01-29 15:00:00,0.154384036801535,283255.4,2020,29,2,1,15
14838,2020-01-29 18:00:00,2.57718674295139e-05,0.0,2020,29,2,1,18
14839,2020-01-29 21:00:00,3.6322766175825e-06,0.0,2020,29,2,1,21
14840,2020-01-30 00:00:00,3.51120073032975e-05,0.0,2020,30,3,1,0
14841,2020-01-30 03:00:00,9.99740897601279e-05,0.0,2020,30,3,1,3
14842,2020-01-30 06:00:00,0.0349181129181399,0.0,2020,30,3,1,6
14843,2020-01-30 09:00:00,0.293949076865546,606222.44,2020,30,3,1,9
14844,2020-01-30 12:00:00,0.456541021029498,1460995.6,2020,30,3,1,12
14845,2020-01-30 15:00:00,0.186105400365096,724406.56,2020,30,3,1,15
14846,2020-01-30 18:00:00,3.21715928985879e-05,0.0,2020,30,3,1,18
14847,2020-01-30 21:00:00,3.11337995792786e-06,0.0,2020,30,3,1,21
14848,2020-01-31 00:00:00,3.11337995792786e-05,0.0,2020,31,4,1,0
14849,2020-01-31 03:00:00,9.28825020781811e-05,0.0,2020,31,4,1,3
14850,2020-01-31 06:00:00,0.0408321511137771,0.0,2020,31,4,1,6
